# target name	accession	tlen	query name	accession	qlen	E-value	score	bias	#	of	c-Evalue	i-Evalue	score	bias	from	to	from	to	from	to	acc	description of target
Zn_clus	PF00172.19	40	Suva_PIP2	-	1003	9.10E-10	38.5	10.9	1	1	1.30E-13	2.40E-09	37.2	10.9	2	39	24	60	23	61	0.95	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Skud_PIP2	-	1001	8.50E-10	38.6	9.6	1	1	1.10E-13	2.00E-09	37.4	9.6	2	38	24	59	23	61	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Smik_PIP2	-	996	2.50E-09	37.1	9.7	1	2	2.70E-13	2.50E-09	37.1	9.7	2	38	24	59	23	61	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Smik_PIP2	-	996	2.50E-09	37.1	9.7	2	2	2	1.80E+04	-4.1	0.8	20	26	711	717	710	719	0.61	Fungal Zn(2)-Cys(6) binuclear cluster domain
Phage_int_SAM_4	PF13495.7	85	Smik_PIP2	-	996	0.12	12.9	0.6	1	2	0.0003	2.7	8.5	0.1	5	77	172	242	169	250	0.87	Phage integrase, N-terminal SAM-like domain
Phage_int_SAM_4	PF13495.7	85	Smik_PIP2	-	996	0.12	12.9	0.6	2	2	0.044	4.00E+02	1.6	0	20	53	256	290	252	292	0.86	Phage integrase, N-terminal SAM-like domain
Zn_clus	PF00172.19	40	Scer_PIP2	-	997	7.80E-10	38.7	9.6	1	1	1.10E-13	2.00E-09	37.4	9.6	2	38	24	59	23	61	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Kwal_PIP2/OAF1	-	945	4.70E-10	39.5	10.3	1	2	1.00E-13	4.70E-10	39.5	10.3	2	38	28	63	27	65	0.93	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Kwal_PIP2/OAF1	-	945	4.70E-10	39.5	10.3	2	2	3.3	1.50E+04	-3.8	1.3	2	8	221	227	212	228	0.74	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Kwal_PIP2/OAF1	-	945	0.00048	19.3	0.1	1	1	3.20E-07	0.0015	17.7	0.1	3	159	292	485	290	488	0.7	Fungal specific transcription factor domain
cwf21	PF08312.13	44	Kwal_PIP2/OAF1	-	945	0.043	14	1.3	1	3	0.038	1.70E+02	2.5	0.2	7	44	195	231	189	231	0.88	cwf21 domain
cwf21	PF08312.13	44	Kwal_PIP2/OAF1	-	945	0.043	14	1.3	2	3	0.013	58	4	0	17	43	456	483	452	484	0.85	cwf21 domain
cwf21	PF08312.13	44	Kwal_PIP2/OAF1	-	945	0.043	14	1.3	3	3	0.012	54	4.1	0	13	25	855	867	854	892	0.84	cwf21 domain
MSC	PF09402.11	338	Kwal_PIP2/OAF1	-	945	0.49	9.8	6.1	1	3	2.3	1.10E+04	-4.4	0.5	44	58	39	53	12	55	0.66	Man1-Src1p-C-terminal domain
MSC	PF09402.11	338	Kwal_PIP2/OAF1	-	945	0.49	9.8	6.1	2	3	0.0055	25	4.2	0	282	315	459	492	449	500	0.88	Man1-Src1p-C-terminal domain
MSC	PF09402.11	338	Kwal_PIP2/OAF1	-	945	0.49	9.8	6.1	3	3	0.00033	1.5	8.2	0.3	130	248	535	653	517	658	0.7	Man1-Src1p-C-terminal domain
Zn_clus	PF00172.19	40	Lklu_PIP2/OAF1	-	984	6.10E-11	42.3	11.1	1	1	1.70E-14	1.60E-10	41	11.1	2	38	27	62	26	64	0.93	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Lklu_PIP2/OAF1	-	984	4.20E-05	22.7	1.7	1	2	0.0094	86	2.1	0	226	265	47	84	1	86	0.71	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Lklu_PIP2/OAF1	-	984	4.20E-05	22.7	1.7	2	2	6.10E-08	0.00056	19.1	0.5	4	179	306	519	303	529	0.76	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Ecym_PIP2/OAF1	-	979	1.60E-10	40.9	14.3	1	1	3.60E-14	3.30E-10	39.9	14.3	2	38	31	66	30	68	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Ecym_PIP2/OAF1	-	979	0.00045	19.4	3	1	3	0.001	9.5	5.2	0	232	267	57	90	7	90	0.86	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Ecym_PIP2/OAF1	-	979	0.00045	19.4	3	2	3	2.70E-06	0.025	13.7	0.1	115	179	454	527	338	624	0.8	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Ecym_PIP2/OAF1	-	979	0.00045	19.4	3	3	3	0.34	3.10E+03	-3.1	0.1	1	24	803	832	803	834	0.83	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Egos_PIP2/OAF1	-	971	7.00E-11	42.1	15.2	1	1	3.30E-14	1.50E-10	41	15.2	2	39	31	67	30	68	0.96	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Egos_PIP2/OAF1	-	971	0.00081	18.5	1	1	3	0.0021	9.8	5.1	0	225	266	50	89	12	90	0.85	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Egos_PIP2/OAF1	-	971	0.00081	18.5	1	2	3	6.00E-05	0.27	10.2	0	120	162	456	500	415	522	0.82	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Egos_PIP2/OAF1	-	971	0.00081	18.5	1	3	3	0.38	1.70E+03	-2.2	0.1	72	111	626	663	594	695	0.63	Fungal specific transcription factor domain
GDPD	PF03009.18	259	Egos_PIP2/OAF1	-	971	0.038	13.7	1.1	1	2	1.80E-05	0.082	12.6	0.2	90	165	640	715	582	767	0.88	Glycerophosphoryl diester phosphodiesterase family
GDPD	PF03009.18	259	Egos_PIP2/OAF1	-	971	0.038	13.7	1.1	2	2	0.4	1.80E+03	-1.6	0	50	87	847	881	837	917	0.63	Glycerophosphoryl diester phosphodiesterase family
Rsbr_N	PF08678.11	130	Egos_PIP2/OAF1	-	971	0.19	11.8	4.8	1	3	0.0043	20	5.3	0	51	71	228	248	218	305	0.78	Rsbr N terminal
Rsbr_N	PF08678.11	130	Egos_PIP2/OAF1	-	971	0.19	11.8	4.8	2	3	0.071	3.20E+02	1.4	0.3	74	122	636	682	634	683	0.78	Rsbr N terminal
Rsbr_N	PF08678.11	130	Egos_PIP2/OAF1	-	971	0.19	11.8	4.8	3	3	0.016	72	3.5	2.1	39	93	683	738	660	782	0.63	Rsbr N terminal
Zn_clus	PF00172.19	40	Klac_PIP2/OAF1	-	976	2.30E-09	37.2	12.1	1	2	2.60E-13	2.30E-09	37.2	12.1	2	39	34	70	33	71	0.95	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Klac_PIP2/OAF1	-	976	2.30E-09	37.2	12.1	2	2	0.75	6.90E+03	-2.7	0.1	22	32	539	549	538	554	0.81	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Klac_PIP2/OAF1	-	976	0.0024	17	0.1	1	2	0.027	2.40E+02	0.6	0	233	266	61	92	13	93	0.89	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Klac_PIP2/OAF1	-	976	0.0024	17	0.1	2	2	4.10E-06	0.038	13.1	0.1	112	162	456	513	417	529	0.83	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Tdel_PIP2/OAF1	-	990	3.80E-10	39.7	10.4	1	1	1.30E-13	7.60E-10	38.8	10.4	2	38	44	79	43	81	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
ENTH	PF01417.21	125	Tdel_PIP2/OAF1	-	990	0.034	14.2	2.3	1	2	0.023	1.40E+02	2.5	0	55	96	675	717	629	721	0.83	ENTH domain
ENTH	PF01417.21	125	Tdel_PIP2/OAF1	-	990	0.034	14.2	2.3	2	2	0.00011	0.68	10	0.6	13	89	750	859	740	877	0.84	ENTH domain
HypA	PF01155.20	112	Tdel_PIP2/OAF1	-	990	7.3	6.7	6.6	1	2	0.00045	2.7	8.1	2.8	66	99	38	72	15	77	0.76	Hydrogenase/urease nickel incorporation, metallochaperone, hypA
HypA	PF01155.20	112	Tdel_PIP2/OAF1	-	990	7.3	6.7	6.6	2	2	0.48	2.90E+03	-1.7	0.1	33	77	822	873	798	885	0.62	Hydrogenase/urease nickel incorporation, metallochaperone, hypA
Zn_clus	PF00172.19	40	Zrou_PIP2/OAF1	-	1036	7.70E-10	38.8	10.2	1	1	6.70E-14	1.20E-09	38.1	10.2	2	38	59	94	58	96	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Scer_OAF1	-	1048	1.30E-11	44.5	10.6	1	1	1.20E-15	2.20E-11	43.7	10.6	2	38	65	100	64	102	0.95	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Smik_OAF1	-	1047	4.70E-12	45.8	11.4	1	1	4.60E-16	8.40E-12	45	11.4	2	38	65	100	64	102	0.95	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Skud_OAF1	-	1041	8.80E-12	45	10.5	1	1	8.60E-16	1.60E-11	44.2	10.5	2	38	65	100	64	102	0.95	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Suva_OAF1	-	1046	2.50E-11	43.5	11.2	1	1	2.50E-15	4.50E-11	42.7	11.2	2	38	65	100	64	102	0.95	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Cgla_OAF1	-	995	1.50E-09	37.8	11.3	1	1	1.70E-13	3.10E-09	36.8	11.3	2	38	26	61	25	63	0.92	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Kfar_OAF1	-	1046	8.80E-10	38.6	14.4	1	1	2.90E-13	1.80E-09	37.6	14.4	2	38	28	63	27	65	0.9	Fungal Zn(2)-Cys(6) binuclear cluster domain
TcdB_toxin_midN	PF12256.9	181	Kfar_OAF1	-	1046	0.011	15.1	0.1	1	2	0.17	1.00E+03	-1.2	0	100	128	152	180	145	184	0.9	Insecticide toxin TcdB middle/N-terminal region
TcdB_toxin_midN	PF12256.9	181	Kfar_OAF1	-	1046	0.011	15.1	0.1	2	2	1.00E-05	0.061	12.6	0	44	112	865	931	860	941	0.91	Insecticide toxin TcdB middle/N-terminal region
Mlf1IP	PF10248.10	174	Kfar_OAF1	-	1046	0.013	15.5	0.9	1	1	6.50E-06	0.039	13.9	0.9	122	169	839	886	832	887	0.91	Myelodysplasia-myeloid leukemia factor 1-interacting protein
Zn_clus	PF00172.19	40	Knag_OAF1	-	1137	4.60E-10	39.5	12.4	1	1	5.00E-14	9.20E-10	38.5	12.4	2	38	49	84	48	86	0.93	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Ncas_OAF1	-	1023	1.50E-10	41.1	10.7	1	1	1.50E-14	2.80E-10	40.2	10.7	2	38	45	80	44	82	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Ndai_OAF1	-	1162	1.60E-09	37.7	10.6	1	1	2.00E-13	3.60E-09	36.6	10.6	2	37	68	102	67	105	0.93	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Vpol_PDR1	-	1130	2.10E-22	79.5	10.1	1	3	0.24	2.20E+03	-2.6	1.2	12	207	86	110	76	153	0.62	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Vpol_PDR1	-	1130	2.10E-22	79.5	10.1	2	3	2.30E-26	2.10E-22	79.5	10.1	1	263	387	725	387	730	0.81	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Vpol_PDR1	-	1130	2.10E-22	79.5	10.1	3	3	0.45	4.10E+03	-3.5	0.1	215	260	804	865	792	867	0.73	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Vpol_PDR1	-	1130	1.40E-07	31.5	11.1	1	1	3.60E-11	3.30E-07	30.4	11.1	1	33	38	69	38	75	0.91	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Tpha_PDR1	-	1193	1.60E-21	76.6	6.2	1	2	1.70E-25	1.60E-21	76.6	6.2	24	249	392	706	357	734	0.75	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Tpha_PDR1	-	1193	1.60E-21	76.6	6.2	2	2	1.3	1.20E+04	-4.9	1	188	207	1108	1127	1097	1144	0.5	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Tpha_PDR1	-	1193	3.60E-09	36.6	13.5	1	1	8.90E-13	8.20E-09	35.5	13.5	1	38	26	61	26	63	0.92	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Tbla_PDR1	-	1111	1.70E-22	79.7	6.1	1	2	0.15	1.40E+03	-1.9	0.3	207	262	118	180	65	184	0.53	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Tbla_PDR1	-	1111	1.70E-22	79.7	6.1	2	2	1.90E-26	1.70E-22	79.7	6.1	12	249	322	640	308	668	0.8	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Tbla_PDR1	-	1111	2.00E-05	24.6	5.8	1	1	4.10E-09	3.70E-05	23.8	5.8	3	35	45	75	44	80	0.91	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Ndai_PDR1	-	1119	2.80E-29	102	3.5	1	3	0.29	2.60E+03	-2.8	0.2	192	230	110	148	101	243	0.67	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Ndai_PDR1	-	1119	2.80E-29	102	3.5	2	3	3.00E-33	2.80E-29	102	3.5	18	249	401	698	358	716	0.82	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Ndai_PDR1	-	1119	2.80E-29	102	3.5	3	3	0.26	2.40E+03	-2.7	0.1	57	57	999	999	928	1052	0.53	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Ndai_PDR1	-	1119	1.00E-07	32	15.4	1	1	2.50E-11	2.30E-07	30.9	15.4	1	39	61	97	61	98	0.92	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Ncas_PDR1	-	1114	1.90E-27	96	6.5	1	2	0.14	8.70E+02	-1.3	0.2	187	246	285	351	271	367	0.72	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Ncas_PDR1	-	1114	1.90E-27	96	6.5	2	2	3.00E-31	1.90E-27	96	6.5	3	264	381	719	379	722	0.81	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Ncas_PDR1	-	1114	2.80E-08	33.8	12.2	1	1	8.50E-12	5.20E-08	32.9	12.2	1	35	35	68	35	73	0.88	Fungal Zn(2)-Cys(6) binuclear cluster domain
CHASE3	PF05227.14	138	Ncas_PDR1	-	1114	0.11	12.4	0	1	1	3.90E-05	0.24	11.4	0	45	95	226	276	224	292	0.92	CHASE3 domain
Fungal_trans	PF04082.19	267	Knag_PDR1	-	969	1.60E-20	73.3	1	1	1	1.80E-23	1.60E-19	70	1	2	248	315	621	314	648	0.77	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Knag_PDR1	-	969	1.70E-08	34.4	11.6	1	1	3.70E-12	3.40E-08	33.5	11.6	2	35	27	59	26	63	0.9	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Kfar_PDR1	-	998	1.30E-27	96.6	3.3	1	2	1.40E-31	1.30E-27	96.6	3.3	3	245	303	614	301	645	0.8	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Kfar_PDR1	-	998	1.30E-27	96.6	3.3	2	2	0.55	5.00E+03	-3.7	0	198	236	945	987	934	994	0.68	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Kfar_PDR1	-	998	6.20E-09	35.9	14.6	1	1	1.40E-12	1.30E-08	34.8	14.6	1	36	21	55	21	59	0.9	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Cgla_PDR1	-	1108	4.20E-21	75.2	1	1	2	0.59	3.60E+03	-3.3	0.2	207	244	204	251	182	263	0.43	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Cgla_PDR1	-	1108	4.20E-21	75.2	1	2	2	6.90E-25	4.20E-21	75.2	1	13	249	398	697	374	721	0.87	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Cgla_PDR1	-	1108	1.50E-08	34.6	14.6	1	1	6.00E-12	3.70E-08	33.4	14.6	1	38	29	64	29	67	0.88	Fungal Zn(2)-Cys(6) binuclear cluster domain
NBD94	PF16830.6	91	Cgla_PDR1	-	1108	0.99	10	9.4	1	3	0.00031	1.9	9.1	1.8	7	55	206	256	199	279	0.82	Nucleotide-Binding Domain 94 of RH
NBD94	PF16830.6	91	Cgla_PDR1	-	1108	0.99	10	9.4	2	3	0.06	3.70E+02	1.7	0.1	5	43	704	742	700	753	0.72	Nucleotide-Binding Domain 94 of RH
NBD94	PF16830.6	91	Cgla_PDR1	-	1108	0.99	10	9.4	3	3	0.13	7.80E+02	0.7	0.1	38	81	952	995	936	1005	0.78	Nucleotide-Binding Domain 94 of RH
Fungal_trans	PF04082.19	267	Suva_PDR1	-	1001	4.30E-62	209.6	5.6	1	3	7.10E-66	4.30E-62	209.6	5.6	1	266	304	648	304	649	0.98	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Suva_PDR1	-	1001	4.30E-62	209.6	5.6	2	3	0.41	2.50E+03	-2.8	0.1	210	231	700	733	691	812	0.59	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Suva_PDR1	-	1001	4.30E-62	209.6	5.6	3	3	0.44	2.70E+03	-2.9	0.1	76	113	799	834	779	839	0.73	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Suva_PDR1	-	1001	1.40E-08	34.8	13.2	1	2	2.20E-12	1.40E-08	34.8	13.2	1	34	41	73	41	78	0.91	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Suva_PDR1	-	1001	1.40E-08	34.8	13.2	2	2	0.3	1.80E+03	-0.8	0.4	8	15	285	292	280	298	0.84	Fungal Zn(2)-Cys(6) binuclear cluster domain
Tnp_zf-ribbon_2	PF13842.7	31	Suva_PDR1	-	1001	9.7	7.2	13.9	1	1	0.0044	27	5.8	13.9	2	28	42	68	41	69	0.94	DDE_Tnp_1-like zinc-ribbon
Fungal_trans	PF04082.19	267	Skud_PDR1	-	1081	3.80E-65	219.6	5	1	4	0.87	3.20E+03	-3.1	0	42	62	175	195	147	243	0.69	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Skud_PDR1	-	1081	3.80E-65	219.6	5	2	4	1.00E-68	3.80E-65	219.6	5	1	266	302	646	302	647	0.99	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Skud_PDR1	-	1081	3.80E-65	219.6	5	3	4	1.3	4.70E+03	-3.6	0	175	205	876	906	869	921	0.77	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Skud_PDR1	-	1081	3.80E-65	219.6	5	4	4	0.58	2.10E+03	-2.5	6.7	175	207	1002	1034	978	1062	0.62	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Skud_PDR1	-	1081	1.40E-09	37.9	13.6	1	2	3.90E-13	1.40E-09	37.9	13.6	1	35	41	74	41	78	0.92	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Skud_PDR1	-	1081	1.40E-09	37.9	13.6	2	2	4.5	1.60E+04	-3.9	0.1	8	14	283	289	282	293	0.75	Fungal Zn(2)-Cys(6) binuclear cluster domain
Tub_N	PF16322.6	220	Skud_PDR1	-	1081	0.42	10.9	10.4	1	1	0.00025	0.91	9.8	10.4	50	200	879	1031	871	1050	0.58	Tubby N-terminal
SOG2	PF10428.10	507	Skud_PDR1	-	1081	2	7.5	19.8	1	1	0.001	3.8	6.6	19.8	187	343	892	1050	853	1069	0.51	RAM signalling pathway protein
CC190	PF15768.6	270	Skud_PDR1	-	1081	9.2	6.3	10.5	1	1	0.0051	19	5.3	10.5	134	225	959	1048	875	1061	0.75	Coiled-coil domain-containing protein 190
Fungal_trans	PF04082.19	267	Smik_PDR1	-	1070	5.10E-65	219.2	5.8	1	2	5.60E-69	5.10E-65	219.2	5.8	1	266	305	649	305	650	0.99	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Smik_PDR1	-	1070	5.10E-65	219.2	5.8	2	2	0.017	1.60E+02	1.2	1.7	181	216	1000	1034	992	1056	0.76	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Smik_PDR1	-	1070	1.30E-09	38	13.6	1	2	1.40E-13	1.30E-09	38	13.6	1	35	41	74	41	78	0.91	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Smik_PDR1	-	1070	1.30E-09	38	13.6	2	2	1.8	1.60E+04	-3.9	0.1	8	14	286	292	285	296	0.75	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Scer_PDR1	-	1069	7.80E-69	231.7	6.4	1	2	8.50E-73	7.80E-69	231.7	6.4	1	266	308	652	308	653	0.99	Fungal specific transcription factor domain
Fungal_trans	PF04082.19	267	Scer_PDR1	-	1069	7.80E-69	231.7	6.4	2	2	0.42	3.90E+03	-3.4	1.2	185	208	1003	1027	989	1044	0.52	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Scer_PDR1	-	1069	8.50E-10	38.6	13.2	1	2	9.40E-14	8.50E-10	38.6	13.2	1	35	44	77	44	81	0.92	Fungal Zn(2)-Cys(6) binuclear cluster domain
Zn_clus	PF00172.19	40	Scer_PDR1	-	1069	8.50E-10	38.6	13.2	2	2	1.8	1.60E+04	-3.9	0.1	8	14	289	295	288	299	0.75	Fungal Zn(2)-Cys(6) binuclear cluster domain
Fungal_trans	PF04082.19	267	Kwal_PDR1/PDR3	-	925	1.40E-26	93.1	0.5	1	1	3.00E-30	2.70E-26	92.2	0.5	85	255	407	576	381	594	0.88	Fungal specific transcription factor domain
Zn_clus	PF00172.19	40	Kwal_PDR1/PDR3	-	925	1.40E-09	38	13.7	1	1	2.80E-13	2.50E-09	37.1	13.7	1	38	17	52	17	54	0.94	Fungal Zn(2)-Cys(6) binuclear cluster domain
